M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
Qwen3 1.7B,Qwen3 1.7B,TruthfulQA (790),464,508,502,44,38,102,58,,4.05,10,13,229,,,,,,,
AVG ITER,790,,58.73,64.3,63.54,5.57,4.81,12.91,7.34,,,,,,,,,,,,
25.61,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
5.6,,Scruples (2360),1204,1262,1262,58,58,422,364,4.14,12,,,,,,,,,,
MINROW,2360,,51.02,53.47,53.47,2.46,2.46,17.88,15.42,,,,,,,,,,,,
195,,CommonsenseQA 2.0 (2541),1382,1577,1572,195,190,423,228,3.75,34,,,,,,,,,,
MAXROW,2541,,54.39,62.06,61.87,7.67,7.48,16.65,8.97,,,,,,,,,,,,
206,,ETHICS Commonsense (3964),2083,2325,2278,242,195,919,677,4.14,62,,,,,,,,,,
,3964,,52.55,58.65,57.47,6.1,4.92,23.18,17.08,,,,,,,,,,,,
,,ETHICS Justice (2052),1135,1262,1243,127,108,433,306,3.75,16,,,,,,,,,,
,2052,,55.31,61.5,60.58,6.19,5.26,21.1,14.91,,,,,,,,,,,,
,,,,,,,,,,,,,,Num none,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 4B,Qwen3 4B,TruthfulQA (790),577,634,638,57,61,93,36,,3.64,21,22,293,,,,,,,
AVG ITER,790,,73.04,80.25,80.76,7.22,7.72,11.77,4.56,,,,,,,,,,,,
3.94,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
10.46,2360,Scruples (2360),1447,1595,1584,148,137,385,237,0.2,4.18,,,1618,,,,,,,
MINROW,2360,,61.31,67.58,67.12,6.27,5.81,16.31,10.04,,,,,,,,,,,,
209,2541,CommonsenseQA 2.0 (2541),1600,1864,1855,264,255,429,165,0.2,3.68,,,151,,,,,,,
MAXROW,2541,,62.97,73.36,73,10.39,10.04,16.88,6.49,,,,,,,,,,,,
220,3964,ETHICS Commonsense (3964),2193,2567,2463,374,270,901,527,0.2,3.94,,,848,,,,,,,
,3964,,55.32,64.76,62.13,9.43,6.81,22.73,13.29,,,,,,,,,,,,
,2052,ETHICS Justice (2052),1091,1481,1416,390,325,605,215,0.2,4.28,,,742,,,,,,,
,2052,,53.17,72.17,69.01,19.01,15.84,29.48,10.48,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 8B,Qwen3 8B,TruthfulQA (790),538,646,652,108,104,158,50,,4.05,15,20,275,,,,,,,
AVG ITER,790,,68.1,81.77,82.53,13.67,13.16,20,6.33,,,,,,,,,,,,
4.09,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
13.97,,Scruples (2360),1206,1488,1473,282,267,593,311,,4.45,,,593,,,,,,,
MINROW,2360,,51.1,63.05,62.42,11.95,11.31,25.13,13.18,,,,,,,,,,,,
223,,CommonsenseQA 2.0 (2541),1484,1857,1848,373,364,552,179,,3.85,,,111,,,,,,,
MAXROW,2541,,58.4,73.08,72.73,14.68,14.33,21.72,7.04,,,,,,,,,,,,
234,,ETHICS Commonsense (3964),1991,2440,2358,449,367,623,174,,3.8,,,82,,,,,,,
,3964,,50.23,61.55,59.49,11.33,9.26,15.72,4.39,,,,,,,,,,,,
,,ETHICS Justice (2052),1082,1456,1402,374,320,539,165,,4.28,,,323,,,,,,,
,2052,,52.73,70.96,68.32,18.23,15.59,26.27,8.04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 14B,Qwen3 14B,TruthfulQA (790),621,682,682,61,61,83,22,,3.81,18,20,269,,,,,,,
AVG ITER,790,,78.61,86.33,86.33,7.72,7.72,10.51,2.78,,,,,,,,,,,,
4.29,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
8.29,,Scruples (2360),1330,1423,1426,93,96,443,350,,4.81,,,1046,,,,,,,
MINROW,2360,,56.36,60.3,60.42,3.94,4.07,18.77,14.83,,,,,,,,,,,,
237,,CommonsenseQA 2.0 (2541),1688,1863,1869,175,181,321,146,,4.08,,,170,,,,,,,
MAXROW,2541,,66.43,73.32,73.55,6.89,7.12,12.63,5.75,,,,,,,,,,,,
248,,ETHICS Commonsense (3964),2581,2693,2706,112,125,579,467,,4.57,30,30,491,,,,,,,
,3964,,65.11,67.94,68.26,2.83,3.15,14.61,11.78,,,,,,,,,,,,
,,ETHICS Justice (2052),1173,1585,1560,412,387,554,142,,4.17,53,30,457,,,,,,,
,2052,,57.16,77.24,76.02,20.08,18.86,27,6.92,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 32B,Qwen3 32B,TruthfulQA (790),700,733,729,33,29,58,25,,3.49,,,,,,,,,,
AVG ITER,790,,88.61,92.78,92.28,4.18,3.67,7.34,3.16,,,,,,,,,,,,
3.96,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
3.96,,Scruples (2360),1524,1661,1666,137,142,,,,,,,,,,,,,,
MINROW,2360,,64.58,70.38,70.59,5.81,6.02,0,0,,,,,,,,,,,,
251,,CommonsenseQA 2.0 (2541),1966,1971,1983,5,17,197,192,,3.86,,,,,,,,,,
MAXROW,2541,,77.37,77.57,78.04,0.2,0.67,7.75,7.56,,,,,,,,,,,,
262,,ETHICS Commonsense (3964),2498,2687,2573,189,75,519,330,,4.43,74,89,1210,,,,,,,
,3964,,63.02,67.79,64.91,4.77,1.89,13.09,8.32,,,,,,,,,,,,
,,ETHICS Justice (2052),1576,1675,1683,99,107,230,131,,4.07,9,18,475,,,,,,,
,2052,,76.8,81.63,82.02,4.82,5.21,11.21,6.38,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Qwen3 235B,Qwen3 235B,TruthfulQA (790),707,752,751,45,44,62,17,,3.85,15,14,240,,,,,,,
AVG ITER,790,,89.49,95.19,95.06,5.7,5.57,7.85,2.15,,,,,,,,,,,,
4.53,,,,,,,,,,,,,,,,,,,,,
AVG ACC,790,,,,,,,,,,,,,,,,,,,,
6.46,,Scruples (2360),1207,1514,1493,307,286,523,216,,4.99,16,19,517,,,,,,,
MINROW,2360,? weird,51.14,64.15,63.26,13.01,12.12,22.16,9.15,,,,,,,,,,,,
265,,CommonsenseQA 2.0 (2541),1656,1814,1804,158,148,340,182,,4.39,6,8,203,,,,,,,
MAXROW,2541,,65.17,71.39,71,6.22,5.82,13.38,7.16,,,,,,,,,,,,
276,,ETHICS Commonsense (3964),2316,2590,2459,274,143,604,330,,4.87,12,15,296,,,,,,,
,3964,,58.43,65.34,62.03,6.91,3.61,15.24,8.32,,,,,,,,,,,,
,,ETHICS Justice (2052),1447,1456,1410,9,-37,247,238,,,6,5,146,,,,,,,
,2052,,70.52,70.96,68.71,0.44,-1.8,12.04,11.6,,,,,,,,,,,,
